B_ID,B_NAME,TYPE,LANGUAGE
B28010,Algoma DSB,Public,English
B67202,Algonquin and Lakeshore CDSB,Catholic,English
B66010,Avon Maitland DSB,Public,English
B66001,Bluewater DSB,Public,English
B67164,Brant Haldimand Norfolk CDSB,Catholic,English
B67008,Bruce-Grey CDSB,Catholic,English
B67172,CDSB of Eastern Ontario,Catholic,English
B66303,CS Viamonde,Public,French
B67318,CS catholique MonAvenir,Catholic,French
B28118,CS public du Grand Nord de l'Ontario,Public,French
B28100,CSD du Nord-Est de l'Ontario,Public,French
B29114,CSDC Franco-Nord,Catholic,French
B67326,CSDC de l'Est ontarien,Catholic,French
B29130,CSDC des Aurores boréales,Catholic,French
B29106,CSDC des Grandes Rivières,Catholic,French
B67334,CSDC du Centre-Est de l'Ontario,Catholic,French
B29122,CSDC du Nouvel-Ontario,Catholic,French
B67300,Conseil scolaire catholique Providence,Catholic,French
B66311,CÉP de l'Est de l'Ontario,Public,French
B66150,DSB Niagara,Public,English
B28002,DSB Ontario North East,Public,English
B67083,Dufferin-Peel CDSB,Catholic,English
B67105,Durham CDSB,Catholic,English
B66060,Durham DSB,Public,English
B66168,Grand Erie DSB,Public,English
B66028,Greater Essex County DSB,Public,English
B67113,Halton CDSB,Catholic,English
B66133,Halton DSB,Public,English
B67121,Hamilton-Wentworth CDSB,Catholic,English
B66141,Hamilton-Wentworth DSB,Public,English
B66222,Hastings & Prince Edward DSB,Public,English
B67016,Huron Perth CDSB,Catholic,English
B29025,Huron-Superior CDSB,Catholic,English
B15148,James Bay Lowlands SSB,Public,English
B66079,Kawartha Pine Ridge DSB,Public,English
B28045,Keewatin-Patricia DSB,Public,English
B29050,Kenora CDSB,Catholic,English
B28061,Lakehead DSB,Public,English
B66036,Lambton Kent DSB,Public,English
B66206,Limestone DSB,Public,English
B67032,London District Catholic School Board,Catholic,English
B15199,Moose Factory Island DSAB,Public,English
B15202,Moosonee DSAB,Public,English
B28037,Near North DSB,Public,English
B67156,Niagara CDSB,Catholic,English
B29017,Nipissing-Parry Sound CDSB,Catholic,English
B29009,Northeastern CDSB,Catholic,English
B29041,Northwest CDSB,Catholic,English
B67180,Ottawa CDSB,Catholic,English
B66184,Ottawa-Carleton DSB,Public,English
B66125,Peel DSB,Public,English
B79910,Penetanguishene PSSB,Protestant Separate,English
B67067,Peterborough Victoria Northumberland and Clarington CDSB,Catholic,English
B28029,Rainbow DSB,Public,English
B28053,Rainy River DSB,Public,English
B67199,Renfrew County CDSB,Catholic,English
B66214,Renfrew County DSB,Public,English
B66109,Simcoe County DSB,Public,English
B67091,Simcoe Muskoka CDSB,Catholic,English
B67040,St Clair CDSB,Catholic,English
B29033,Sudbury CDSB,Catholic,English
B29076,Superior North CDSB,Catholic,English
B28070,Superior-Greenstone DSB,Public,English
B66044,Thames Valley DSB,Public,English
B29068,Thunder Bay CDSB,Catholic,English
B67059,Toronto CDSB,Catholic,English
B66052,Toronto DSB,Public,English
B66087,Trillium Lakelands DSB,Public,English
B66192,Upper Canada DSB,Public,English
B66117,Upper Grand DSB,Public,English
B67148,Waterloo CDSB,Catholic,English
B66176,Waterloo Region DSB,Public,English
B67130,Wellington CDSB,Catholic,English
B67024,Windsor-Essex CDSB,Catholic,English
B67075,York CDSB,Catholic,English
B66095,York Region DSB,Public,English
