B_ID,S_ID,S_NAME,LEVEL, ENROLLMENT 
B28010,902344,Algoma Education Connection SS,Secondary, 231 
B28010,019186,Anna McCrea PS,Elementary, 169 
B28010,067679,Arthur Henderson PS,Elementary, 60 
B28010,043362,Ben R McMullin PS,Elementary, 172 
B28010,054542,Blind River PS,Elementary, 172 
B28010,285552,Central Algoma E S,Elementary, 119 
B28010,137967,Central Algoma Intermed S,Elementary, 166 
B28010,891347,Central Algoma SS,Secondary, 312 
B28010,093548,Central Avenue PS,Elementary, 227 
B28010,900869,Chapleau HS,Secondary, 69 
B28010,101214,Chapleau PS,Elementary, 100 
B28010,161276,East View PS,Elementary, 297 
B28010,165042,Echo Bay Central PS,Elementary, 189 
B28010,908010,Elliot Lake SS,Secondary, 308 
B28010,186783,Esten Park PS,Elementary, 122 
B28010,202614,Francis H Clergue PS,Elementary, 695 
B28010,227331,Grand View PS,Elementary, 251 
B28010,230561,Greenwood PS,Elementary, 193 
B28010,237191,H M Robbins PS,Elementary, 244 
B28010,917370,Hornepayne HS,Secondary, 57 
B28010,264750,Hornepayne PS,Elementary, 47 
B28010,278270,Isabel Fletcher PS,Elementary, 195 
B28010,302350,Kiwedin PS,Elementary, 154 
B28010,920533,Korah C & VS,Secondary, 749 
B28010,018309,Korah Intermediate (Elem),Elementary, 97 
B28010,926086,Michipicoten HS,Secondary, 98 
B28010,368490,Missarenda Consolidated PS,Elementary, 10 
B28010,195200,Mountain View PS,Elementary, 187 
B28010,891150,North Shore Adolescent Education S,Secondary, 16 
B28010,410870,Northern Heights PS,Elementary, 215 
B28010,434922,Parkland PS,Elementary, 186 
B28010,442054,Pinewood PS,Elementary, 231 
B28010,462616,Queen Elizabeth PS,Elementary, 245 
B28010,468339,R M Moore PS,Elementary, 249 
B28010,485497,River View PS,Elementary, 184 
B28010,677523,Rockhaven School for Exceptional,Elementary, 20 
B28010,490822,Rosedale PS,Elementary, 300 
B28010,515396,Sir James Dunn PS,Elementary, 131 
B28010,530603,St Joseph Island Central PS,Elementary, 103 
B28010,958050,Superior Heights C & VS,Secondary, 825 
B28010,672610,Superior Heights Community Education,Elementary, 23 
B28010,106913,Superior Heights Intermediate E S,Elementary, 94 
B28010,548413,Tarentorus PS,Elementary, 247 
B28010,551660,Thessalon PS,Elementary, 166 
B28010,895270,W C Eaket SS,Secondary, 174 
B28010,953148,White Pines C & VS,Secondary, 471 
B28010,144872,White Pines Intermediate Sr E S,Elementary, 59 
B67202,765031,Archbishop O'Sullivan Catholic S,Elementary, 244 
B67202,827681,Cathedrale Catholic S,Elementary, 310 
B67202,708011,Georges Vanier Catholic S,Elementary, 308 
B67202,715298,Holy Cross Catholic SS,Secondary,1061
B67202,716669,Holy Family Catholic S,Elementary, 214 
B67202,717703,Holy Name Catholic S,Elementary, 127 
B67202,865257,Holy Name of Mary Catholic S,Elementary, 81 
B67202,719919,Holy Rosary Catholic S,Elementary, 222 
B67202,735523,J J O'Neill Catholic S,Elementary, 282 
B67202,724068,John XXIII Catholic S,Elementary, 237 
B67202,728420,Loyola Community Learning Centre,Secondary, 347 
B67202,773875,Mother Teresa Catholic S,Elementary, 375 
B67202,835099,Nicholson Catholic College,Secondary, 465 
B67202,742279,Our Lady of Fatima Catholic S,Elementary, 165 
B67202,746568,Our Lady of Lourdes Catholic S,Elementary, 272 
B67202,746690,Our Lady of Mercy Catholic S,Elementary, 168 
B67202,706264,Our Lady of Mount Carmel Catholic S,Elementary, 473 
B67202,752932,Regiopolis/Notre-Dame Catholic HS,Secondary,1037
B67202,756830,Sacred Heart Catholic S,Elementary, 150 
B67202,764370,Sacred Heart Catholic S,Elementary, 132 
B67202,868370,Sacred Heart Catholic S,Elementary, 49 
B67202,781142,St Carthagh Catholic S,Elementary, 144 
B67202,796220,St Gregory Catholic S,Elementary, 258 
B67202,799556,St James Major,Elementary, 57 
B67202,815330,St Joseph Catholic S,Elementary, 339 
B67202,830984,St Marguerite Bourgeoys Catholic S,Elementary, 448 
B67202,823570,St Martha Catholic S,Elementary, 376 
B67202,824330,St Martin of Tours Catholic S,Elementary, 20 
B67202,831840,St Mary Catholic S,Elementary, 439 
B67202,865125,St Mary Catholic S,Elementary, 91 
B67202,834688,St Michael Catholic S,Elementary, 617 
B67202,764248,St Patrick Catholic S,Elementary, 20 
B67202,838861,St Patrick Catholic S,Elementary, 43 
B67202,841773,St Patrick Catholic S,Elementary, 205 
B67202,706744,St Paul Catholic E S,Elementary, 159 
B67202,842761,St Paul Catholic S,Elementary, 153 
B67202,841358,St Paul Catholic SS,Secondary, 321 
B67202,844845,St Peter Catholic S,Elementary, 47 
B67202,845493,St Peter Catholic S,Elementary, 300 
B67202,851752,St Theresa Catholic SS,Secondary, 745 
B67202,856150,St Thomas More Catholic S,Elementary, 259 
B66010,019313,Anne Hathaway PS,Elementary, 390 
B66010,893048,Avon Maitland District E-learning Centre,Secondary, 240 
B66010,028673,Avon PS,Elementary, 323 
B66010,039306,Bedford PS,Elementary, 440 
B66010,272319,Bluewater Coast E PS,Elementary, 123 
B66010,066699,Brookside PS,Elementary, 192 
B66010,899569,Central Huron SS,Secondary, 489 
B66010,093718,Central Perth E S,Elementary, 233 
B66010,112917,Clinton PS,Elementary, 296 
B66010,145912,Downie Central PS,Elementary, 262 
B66010,175170,Elma Township PS,Elementary, 345 
B66010,190527,Exeter E S,Elementary, 310 
B66010,953776,F E Madill SS,Secondary, 669 
B66010,181908,F. E. Madill Elementary,Elementary, 149 
B66010,450242,GDCI - Elementary,Elementary, 132 
B66010,913600,Goderich District CI,Secondary, 446 
B66010,478133,Goderich PS,Elementary, 512 
B66010,242527,Hamlet PS,Elementary, 184 
B66010,268003,Howick Central S,Elementary, 343 
